accident_index,latitude,longitude,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,first_road_class,police_force
DEMO101692,53.299613865281046,-1.451708087232738,3,3,5,17/05/2025,6,14:59,6,20.0,2,1,,2.0,1,3,29
DEMO101693,51.52467265373657,-2.4667409846839385,2,1,5,25/09/2025,4,05:50,3,40.0,9,7,1.0,1.0,1,1,34
DEMO101694,52.618583191412576,-1.8093923123237405,2,1,2,21/08/2025,4,01:28,12,70.0,8,1,1.0,2.0,2,3,29
DEMO101695,56.090005934786845,-4.202570604983937,3,5,7,15/09/2025,1,10:23,6,50.0,2,1,1.0,1.0,1,4,20
DEMO101696,53.4724417091959,-3.0866594325762104,1,4,5,08/07/2025,2,13:23,3,30.0,3,7,1.0,1.0,1,4,1
DEMO101697,52.532508372777436,-1.8057215125090493,2,3,3,28/03/2025,5,04:22,9,60.0,9,5,1.0,1.0,2,3,24
DEMO101698,51.40576711623449,-2.5233524328619623,3,2,3,27/01/2025,1,09:00,3,40.0,7,6,1.0,1.0,1,6,10
DEMO101699,54.79914482604612,-5.932554711428287,2,3,3,14/04/2025,1,22:02,3,40.0,0,5,1.0,1.0,1,1,41
DEMO101700,54.0246532642845,-1.612704428998382,3,2,2,13/07/2025,7,08:45,3,20.0,8,5,6.0,1.0,1,4,23
DEMO101701,53.66864297294436,-2.3672389562204135,3,3,3,04/06/2025,3,23:15,7,20.0,2,1,1.0,2.0,1,5,11
DEMO101702,55.99773845752982,-4.603144186469182,3,2,4,04/07/2025,5,20:24,3,40.0,2,6,1.0,1.0,2,2,24
DEMO101703,53.52491275206615,-1.9008757216457697,2,2,6,12/04/2025,6,08:41,1,60.0,8,1,2.0,1.0,2,3,12
DEMO101704,54.491561904190505,-5.750111676382139,1,2,3,09/12/2025,2,13:36,3,60.0,9,1,1.0,1.0,1,2,1
DEMO101705,51.34834031446133,,2,2,4,14/05/2025,3,17:21,3,70.0,0,7,5.0,1.0,1,2,29
DEMO101706,54.78266928544722,-6.208181059931197,3,3,3,05/11/2025,3,11:45,6,40.0,3,1,1.0,2.0,1,2,32
DEMO101707,51.68546569417431,-3.2990675949746566,3,5,6,23/05/2025,5,09:09,6,40.0,2,1,,2.0,1,5,18
DEMO101708,53.524994999058414,-2.2594405443040912,2,4,4,11/06/2025,3,07:28,2,40.0,9,1,8.0,1.0,1,4,33
DEMO101709,53.524840252538084,-2.156839133541647,2,2,4,09/08/2025,6,03:06,3,30.0,9,6,1.0,2.0,2,2,15
DEMO101710,51.4928918809935,-2.772560865215702,1,3,4,07/04/2025,1,00:31,3,20.0,9,7,1.0,1.0,1,2,11
DEMO101711,53.6241394444647,-2.5754334021983314,2,1,1,22/03/2025,6,08:05,6,60.0,0,1,3.0,1.0,1,6,34
DEMO101712,51.61777441932832,-2.9678972223967386,2,6,6,19/05/2025,1,19:56,9,20.0,0,1,8.0,1.0,1,5,27
DEMO101713,55.78668526720476,-4.2083186434465345,2,3,3,21/10/2025,2,05:39,3,70.0,7,5,1.0,1.0,2,2,1
DEMO101714,53.472719244296805,-1.397343778567219,3,3,4,22/02/2025,6,04:14,3,60.0,1,5,3.0,1.0,1,3,14
DEMO101715,51.19665993174892,-3.2321215951222304,3,2,2,09/06/2025,1,07:36,1,30.0,1,1,1.0,1.0,2,3,20
DEMO101716,53.26995018411521,-1.6336503655350822,3,5,5,03/09/2025,3,14:20,7,,2,1,3.0,2.0,1,2,19
DEMO101717,51.139662202174904,-3.1665261192472705,2,2,3,15/09/2025,1,05:31,3,50.0,8,4,1.0,3.0,1,2,13
DEMO101718,51.300286540406695,-2.3775915864041903,2,4,4,08/06/2025,7,05:10,7,40.0,8,1,3.0,5.0,1,1,3
DEMO101719,52.81730093455286,-1.1440519231298496,3,2,3,30/01/2025,4,02:30,7,50.0,8,6,1.0,1.0,2,4,42
DEMO101720,52.11125712923959,-1.6063552710285538,3,2,2,06/01/2025,1,07:06,1,30.0,0,1,2.0,1.0,1,3,19
DEMO101721,56.07522961231795,-4.11219354379536,2,2,2,21/06/2025,6,05:09,3,60.0,8,6,1.0,2.0,1,6,23
DEMO101722,53.289525095292866,-1.476910492838185,3,1,1,23/10/2025,4,19:35,12,40.0,6,5,4.0,1.0,1,3,18
DEMO101723,55.806057503517565,-4.2301343116713905,2,5,5,11/01/2025,6,21:30,3,40.0,2,5,4.0,1.0,1,2,35
DEMO101724,52.79982163701849,-1.3346496999351558,3,3,5,20/11/2025,4,08:17,6,70.0,7,6,6.0,1.0,1,6,12
DEMO101725,56.05509669395504,-3.475076302306789,3,5,5,04/09/2025,4,02:03,6,60.0,8,1,9.0,1.0,1,2,34
DEMO101726,54.8458398549021,-6.167658522031904,3,2,4,03/01/2025,5,02:25,3,50.0,1,1,2.0,1.0,1,3,31
DEMO101727,53.04888416009156,-1.3885605684546678,1,2,2,06/05/2025,2,07:55,9,60.0,8,4,4.0,1.0,2,4,38
DEMO101728,53.47104193049239,-3.0381839902201686,3,4,6,22/03/2025,6,11:42,1,70.0,7,6,1.0,1.0,1,1,44
DEMO101729,52.13079968382049,-1.7024815400765179,2,2,3,13/12/2025,6,12:03,3,60.0,7,6,7.0,2.0,1,2,6
DEMO101730,55.935052642659755,-3.0239787380944,2,1,2,22/07/2025,2,07:56,7,60.0,9,1,3.0,1.0,1,6,31
DEMO101731,51.598103468285316,-3.54351098694854,3,1,2,29/04/2025,2,08:25,12,30.0,8,6,2.0,1.0,2,1,41
DEMO101732,56.080052915329716,-4.045328195560415,3,5,7,12/04/2025,6,06:34,1,60.0,7,1,2.0,1.0,1,4,12
DEMO101733,51.59077532600539,-3.145099189561629,3,3,4,25/07/2025,5,12:00,7,60.0,2,1,4.0,4.0,1,5,19
DEMO101734,51.85741526690007,-3.010987802596402,1,1,3,02/01/2025,4,16:18,1,40.0,6,1,6.0,1.0,2,2,6
DEMO101735,55.82218834584441,-3.0648107087426766,2,4,5,04/04/2025,5,01:47,7,50.0,8,7,,1.0,2,5,9
DEMO101736,52.82369389506896,-1.5599265775149855,2,4,5,02/03/2025,7,11:19,3,40.0,9,4,2.0,,1,5,9
DEMO101737,52.55520283605373,-1.8428368244763411,3,3,7,15/08/2025,5,15:09,3,40.0,8,1,1.0,4.0,1,5,21
DEMO101738,51.73738721148376,0.22534269090258627,3,2,2,02/09/2025,2,16:05,12,,8,5,8.0,1.0,2,5,25
DEMO101739,53.73979338343801,-2.527442279055317,3,2,3,20/06/2025,5,13:55,7,50.0,8,1,3.0,1.0,1,4,36
DEMO101740,53.04203416222712,-3.2134414393583515,3,4,4,21/02/2025,5,12:48,3,30.0,8,1,2.0,1.0,2,1,21
DEMO101741,55.88407830361417,-4.729208145999225,3,2,3,16/05/2025,5,16:02,12,40.0,2,1,3.0,2.0,1,6,26
DEMO101742,53.57984906249087,-3.0997082572717582,3,6,7,04/11/2025,2,09:55,3,60.0,3,1,3.0,1.0,1,2,5
DEMO101743,51.673832397145205,-0.4810203904516924,3,1,4,16/03/2025,7,13:49,7,30.0,7,1,4.0,1.0,1,4,28
DEMO101744,53.582474606409946,-2.4491393417888028,3,2,4,01/03/2025,6,07:21,7,70.0,7,1,2.0,1.0,1,1,21
DEMO101745,54.58195956288503,-5.8709573961865615,3,2,2,10/02/2025,1,10:39,9,40.0,7,6,6.0,1.0,1,4,13
DEMO101746,54.0509490627467,-5.734327180257073,1,2,2,26/10/2025,7,02:15,3,70.0,9,6,6.0,1.0,1,4,10
DEMO101747,51.82462645410635,-3.0535317415099126,3,2,3,13/02/2025,4,08:14,7,30.0,9,7,2.0,1.0,2,5,38
DEMO101748,56.063472941772254,-3.2986698085391466,3,4,4,01/08/2025,5,03:42,7,20.0,8,1,1.0,,1,4,9
DEMO101749,55.7054818124486,-4.30770646118,3,1,1,31/12/2025,3,05:12,3,40.0,8,1,2.0,2.0,1,6,26
DEMO101750,54.53900367341493,-5.961274575205165,3,2,4,23/08/2025,6,10:21,12,40.0,8,1,3.0,1.0,1,3,41
DEMO101751,51.52851359433044,-2.987240076100605,3,3,3,31/05/2025,6,12:21,3,50.0,8,1,2.0,2.0,1,6,23
DEMO101752,53.46663432366485,-1.277622022232666,3,6,7,17/03/2025,1,22:09,3,40.0,2,4,,1.0,1,2,2
DEMO101753,51.204339515394295,-2.375314957748782,3,1,1,01/01/2025,3,00:49,7,40.0,9,1,1.0,3.0,1,5,36
DEMO101754,53.202732095792264,-1.4118252710289616,2,3,3,26/02/2025,3,21:40,3,60.0,2,5,1.0,1.0,1,5,25
DEMO101755,53.89084781067265,-1.6093819910369171,3,4,5,14/12/2025,7,07:51,9,30.0,8,6,6.0,1.0,1,1,23
DEMO101756,51.350631632857514,-2.710157944818744,3,2,3,22/02/2025,6,17:31,3,30.0,1,1,8.0,1.0,1,4,33
DEMO101757,53.060949598524665,-1.3252456436236917,3,3,3,08/01/2025,3,16:10,3,60.0,7,7,2.0,1.0,2,3,16
DEMO101758,52.81234436872708,-1.3602368851930358,3,2,4,25/10/2025,6,23:16,7,30.0,2,1,1.0,2.0,1,3,2
DEMO101759,52.952584665000394,-1.3586531526122525,2,3,4,02/06/2025,1,02:21,9,40.0,8,7,2.0,1.0,1,3,43
DEMO101760,51.15948143667879,-2.4681565618079646,3,4,4,11/05/2025,7,23:56,7,40.0,9,5,2.0,2.0,1,4,5
DEMO101761,51.74878870582647,-2.4084689862792863,2,2,3,19/09/2025,5,01:14,2,30.0,0,1,2.0,1.0,1,4,12
DEMO101762,51.721265409217665,-0.12741827227982613,3,3,3,10/07/2025,4,21:41,3,30.0,1,1,,1.0,2,1,13
DEMO101763,53.54606281217094,-1.3177472842192985,3,2,2,30/11/2025,7,15:07,9,20.0,9,1,1.0,2.0,2,5,10
DEMO101764,52.97115185790808,-1.2223373559098836,3,1,1,20/06/2025,5,11:57,9,30.0,2,6,3.0,1.0,2,5,18
DEMO101765,54.37486848664946,-5.965827391310609,3,2,3,18/09/2025,4,09:38,7,30.0,8,1,3.0,3.0,1,4,31
DEMO101766,52.80373818723394,-1.0700973998746088,2,2,2,17/11/2025,1,02:25,7,20.0,8,6,4.0,1.0,2,6,17
DEMO101767,53.64655997542184,-3.179851983868342,2,2,2,19/06/2025,4,19:20,3,60.0,8,1,1.0,1.0,1,1,18
DEMO101768,51.364546075578346,0.04457047355510996,2,2,2,14/04/2025,1,17:21,6,60.0,0,7,1.0,2.0,1,6,34
DEMO101769,53.4749313199422,-2.3006105907121275,3,2,2,22/12/2025,1,22:13,3,30.0,8,1,1.0,1.0,1,1,7
DEMO101770,51.40237767871701,-2.630489545507437,2,6,6,24/03/2025,1,17:35,1,40.0,9,5,8.0,1.0,2,6,23
DEMO101771,51.426305177584666,-2.5667392701204705,3,1,1,15/01/2025,3,22:51,1,30.0,2,6,1.0,1.0,2,1,8
DEMO101772,51.43184412523945,-2.388416589051939,3,4,4,31/07/2025,4,21:14,7,30.0,8,1,3.0,1.0,1,3,10
DEMO101773,51.41153502178331,-3.117301230140184,3,3,3,27/12/2025,6,10:44,6,20.0,2,1,2.0,1.0,2,6,24
DEMO101774,55.872032529652536,-3.4924943193319655,2,2,2,01/02/2025,6,16:33,3,50.0,9,4,6.0,1.0,2,3,30
DEMO101775,52.42873428277178,-1.6440192362442372,2,3,3,07/11/2025,5,06:46,9,20.0,1,5,1.0,1.0,1,1,38
DEMO101776,53.76323370786081,-1.4318337297990293,2,2,4,31/10/2025,5,19:46,3,,2,6,2.0,1.0,1,6,23
DEMO101777,52.31620717296175,-1.9961412984026106,2,3,4,06/12/2025,6,14:02,7,60.0,1,1,6.0,1.0,1,3,44
DEMO101778,53.54866039531156,-1.5327682393690358,2,2,2,03/06/2025,2,10:01,9,50.0,9,7,1.0,1.0,1,6,37
DEMO101779,55.797545729824705,-4.108516627935217,3,3,5,03/04/2025,4,15:54,9,60.0,7,7,3.0,1.0,1,1,35
DEMO101780,51.34984474084088,0.24493182630984586,2,5,6,06/07/2025,7,06:09,9,30.0,2,6,1.0,2.0,1,2,14
DEMO101781,51.44261979226287,-2.688573222794266,3,2,2,21/02/2025,5,14:34,9,40.0,1,1,9.0,2.0,1,3,9
DEMO101782,51.315353744163026,0.18831145523700402,3,5,8,04/11/2025,2,11:45,6,30.0,9,1,4.0,1.0,2,2,4
DEMO101783,54.25666207053618,-5.793815805874738,2,2,5,31/08/2025,7,07:30,7,40.0,0,7,1.0,1.0,1,1,30
DEMO101784,56.12603008429137,-4.473494919755311,3,3,5,26/06/2025,4,23:00,9,30.0,7,5,6.0,1.0,1,4,3
DEMO101785,53.36693752609821,-2.388432713377952,2,2,2,08/07/2025,2,01:00,3,30.0,7,5,4.0,1.0,1,4,9
DEMO101786,53.08052315932708,-1.9523343221080935,3,2,3,17/09/2025,3,18:40,7,50.0,8,7,2.0,1.0,1,6,18
DEMO101787,52.619991415773136,-1.5509155401210213,2,2,2,10/07/2025,4,05:53,3,30.0,8,1,1.0,3.0,1,4,7
DEMO101788,53.319837382058395,-3.0033692859730636,3,3,3,03/11/2025,1,05:20,7,30.0,8,6,1.0,2.0,1,4,11
DEMO101789,55.94104803171628,-2.924228677188,3,4,4,04/12/2025,4,03:32,2,60.0,0,5,3.0,1.0,1,5,8
DEMO101790,53.40219343652028,-1.385069695363598,2,3,5,13/12/2025,6,02:56,7,30.0,3,6,2.0,1.0,1,6,10
DEMO101791,51.64723141693605,-3.1951378079636368,3,1,1,15/08/2025,5,02:49,3,30.0,0,6,6.0,1.0,1,1,8
DEMO101792,51.49305630048378,-2.5423917100119566,3,3,3,29/09/2025,1,19:32,3,20.0,3,1,1.0,4.0,1,5,24
DEMO101793,53.53225282993028,-1.8837516832739665,3,4,4,24/04/2025,4,22:39,3,40.0,7,1,3.0,1.0,1,6,3
DEMO101794,53.176637867610744,-3.0566529296136418,2,2,2,14/01/2025,2,14:57,7,60.0,7,7,1.0,2.0,1,1,4
DEMO101795,53.20577716005272,-2.3687679375886197,2,2,2,27/05/2025,2,00:47,9,60.0,9,6,3.0,1.0,1,2,18
DEMO101796,54.491338813869234,-5.689614545825236,3,1,2,15/11/2025,6,20:24,1,50.0,9,1,1.0,2.0,2,4,17
DEMO101797,53.534478750990864,-2.1827869920470797,3,2,3,18/02/2025,2,14:41,3,30.0,2,7,1.0,1.0,1,1,14
DEMO101798,53.24577297954247,-3.048452059908787,2,2,2,19/07/2025,6,12:19,7,60.0,8,1,1.0,1.0,2,4,12
DEMO101799,52.81633246754831,-0.890917708186457,2,2,2,12/03/2025,3,22:55,7,60.0,8,1,3.0,1.0,1,5,41
DEMO101800,51.361459582459844,-0.4905795166068978,2,2,2,06/06/2025,5,09:05,3,60.0,9,7,1.0,1.0,1,6,35
DEMO101801,53.286886703189786,-3.220436191191194,3,2,3,22/02/2025,6,08:13,7,30.0,0,5,5.0,1.0,1,5,38
DEMO101802,53.51464334089618,-2.688232940261462,2,4,5,26/09/2025,5,18:20,9,40.0,7,7,1.0,1.0,2,5,32
DEMO101803,,-1.3950799265887148,3,5,7,23/10/2025,4,12:12,3,20.0,3,7,2.0,2.0,2,3,11
DEMO101804,52.67048492229533,-2.2705090569715467,3,2,2,04/10/2025,6,17:35,6,40.0,2,4,3.0,1.0,1,3,19
DEMO101805,51.397000725830274,-0.07545020604690658,3,4,6,15/09/2025,1,16:42,1,60.0,7,1,1.0,2.0,2,5,23
DEMO101806,51.49842442171327,-0.4318593493575036,3,3,4,27/03/2025,4,20:53,12,50.0,2,6,1.0,1.0,1,6,13
DEMO101807,53.35953073991473,-3.093866685775168,3,1,1,13/07/2025,7,07:30,9,60.0,0,1,1.0,1.0,1,1,24
DEMO101808,52.52433299454942,-1.7805331013515748,3,2,3,08/02/2025,6,01:37,6,30.0,8,4,3.0,1.0,1,1,38
DEMO101809,54.68016753413275,-5.938249117625274,3,4,5,17/05/2025,6,11:35,12,30.0,0,4,8.0,1.0,1,2,18
DEMO101810,53.47270181043469,-2.2591444619817014,3,1,1,04/07/2025,5,15:00,3,70.0,2,1,1.0,1.0,1,5,22
DEMO101811,53.853530687203126,-1.667696936245871,3,2,3,02/09/2025,2,19:42,9,30.0,7,1,4.0,5.0,1,3,19
DEMO101812,56.12694878789185,-3.9748958667380307,3,6,8,05/02/2025,3,06:01,9,20.0,7,4,4.0,1.0,1,2,5
DEMO101813,53.299601266835204,-2.8724028390885104,3,2,2,24/10/2025,5,17:32,9,30.0,8,6,4.0,1.0,1,3,4
DEMO101814,51.713457841042796,-3.372323112754143,2,3,4,17/06/2025,2,19:59,7,60.0,9,1,2.0,2.0,1,6,19
DEMO101815,52.698548199263335,-1.8610405048176133,2,3,4,18/11/2025,2,19:47,3,40.0,3,1,,1.0,1,5,27
DEMO101816,53.238770000849854,-2.316962102934727,3,2,3,12/07/2025,6,19:30,2,20.0,1,1,2.0,1.0,1,3,35
DEMO101817,53.414801257714096,-1.680598411086733,3,3,4,19/07/2025,6,23:19,3,50.0,1,6,6.0,1.0,1,3,23
DEMO101818,52.51987462596761,-1.8557516497247246,2,6,6,10/09/2025,3,15:50,9,50.0,6,1,1.0,2.0,1,1,13
DEMO101819,53.77192029132836,-1.1478070855139175,3,4,4,27/10/2025,1,08:51,3,40.0,3,4,5.0,4.0,1,6,22
DEMO101820,53.34969492036971,-1.7572007168405261,3,2,2,27/02/2025,4,10:22,6,30.0,9,5,9.0,4.0,1,5,28
DEMO101821,55.971543592498044,-3.053330875461185,3,3,3,06/07/2025,7,17:06,1,30.0,6,1,7.0,1.0,1,3,41
DEMO101822,53.80447802835153,-1.343845598413706,3,2,3,11/01/2025,6,05:34,6,30.0,3,4,1.0,1.0,1,1,36
DEMO101823,51.36732233709952,-3.061969894505135,3,2,4,23/06/2025,1,14:38,3,30.0,9,7,6.0,2.0,1,1,38
DEMO101824,56.23267224457187,-2.9692376332009203,3,4,5,24/10/2025,5,13:56,6,30.0,8,1,1.0,1.0,1,4,3
DEMO101825,51.436649891160016,-3.195555311517019,3,3,4,12/11/2025,3,15:53,3,60.0,8,1,4.0,1.0,1,5,17
DEMO101826,52.41048876237351,-1.7724482795008747,3,6,6,14/04/2025,1,10:13,2,70.0,6,1,1.0,5.0,1,3,19
DEMO101827,54.59269586584257,-5.900624917064119,3,1,1,22/05/2025,4,17:15,1,30.0,2,5,3.0,1.0,2,4,23
DEMO101828,53.13113093252566,-1.7780742100749074,3,6,6,21/07/2025,1,01:59,12,40.0,7,7,2.0,1.0,1,5,19
DEMO101829,54.42775834886927,-6.179927780205348,3,2,2,25/05/2025,7,17:19,7,30.0,1,5,1.0,,1,3,17
DEMO101830,50.94259787292748,-2.33474401055174,3,1,3,06/03/2025,4,19:27,7,30.0,7,7,1.0,1.0,2,2,26
DEMO101831,54.66215930448645,-6.040293221738861,3,1,1,22/04/2025,2,21:18,12,40.0,9,5,1.0,4.0,1,5,25
DEMO101832,53.541334943104765,-1.548015955893656,3,3,3,28/05/2025,3,22:23,7,30.0,6,1,2.0,1.0,1,1,9
DEMO101833,51.55351411662069,0.05588012089356992,2,2,2,09/07/2025,3,08:33,7,30.0,0,1,6.0,1.0,1,1,40
DEMO101834,51.48661496147465,-2.6174270767836547,2,3,3,03/12/2025,3,01:17,6,,0,5,4.0,2.0,2,4,9
DEMO101835,52.46515525036432,-1.7198434353372347,3,2,2,18/07/2025,5,15:24,3,50.0,9,5,5.0,2.0,1,5,25
DEMO101836,54.86252682110472,-5.955720775215175,2,1,2,22/05/2025,4,02:21,3,40.0,2,4,5.0,4.0,1,1,24
DEMO101837,53.76749967688145,-1.7962883730906025,3,3,4,30/08/2025,6,06:06,9,20.0,6,4,1.0,1.0,1,1,42
DEMO101838,53.63497767667213,-1.9985739563153995,2,1,4,10/10/2025,5,16:47,3,30.0,8,1,2.0,1.0,1,4,8
DEMO101839,53.090608620909805,-1.355728991024083,1,2,2,07/06/2025,6,14:53,3,30.0,2,1,2.0,1.0,1,2,37
DEMO101840,53.15313163402966,-2.6888401284077665,3,2,2,28/06/2025,6,14:29,9,30.0,8,5,1.0,1.0,2,6,14
DEMO101841,52.59663833378113,-1.752902156005985,3,2,3,21/03/2025,5,18:12,2,30.0,0,5,3.0,6.0,1,4,14
DEMO101842,55.74487459570892,-3.313565010554853,2,3,4,12/11/2025,3,03:38,7,40.0,8,6,4.0,5.0,1,5,24
DEMO101843,51.37277779342293,-3.03642988467799,3,2,2,13/11/2025,4,18:32,7,40.0,0,1,3.0,1.0,2,1,22
DEMO101844,55.82395125773765,-4.363232891748567,3,2,3,05/03/2025,3,14:33,3,40.0,2,6,4.0,4.0,1,4,14
DEMO101845,53.598829475241516,-1.6535641105434404,3,8,8,07/05/2025,3,10:35,3,30.0,2,1,1.0,1.0,1,4,20
DEMO101846,51.31792491545244,-2.537092917491218,3,2,2,10/04/2025,4,11:43,3,50.0,9,1,5.0,2.0,1,1,16
DEMO101847,53.00675394602289,-0.9713704042949552,2,3,5,03/12/2025,3,12:02,9,60.0,7,6,1.0,1.0,1,1,5
DEMO101848,52.666255714668544,-1.0915762576532422,1,4,4,24/01/2025,5,13:05,9,30.0,8,7,6.0,2.0,1,2,43
DEMO101849,52.44491477457189,-2.0671922218096173,2,1,1,17/03/2025,1,08:05,9,30.0,7,7,1.0,2.0,1,1,13
DEMO101850,51.413747415940044,-0.4512308945229766,2,1,2,25/04/2025,5,05:09,2,60.0,8,1,2.0,1.0,1,1,37
DEMO101851,54.02030060001723,-1.591365902031733,2,4,5,24/07/2025,4,04:58,3,40.0,7,1,2.0,2.0,1,1,20
DEMO101852,53.26594041186562,-3.2543707175453527,3,1,1,01/04/2025,2,08:43,7,40.0,3,6,1.0,1.0,1,4,3
DEMO101853,52.197326232511024,-1.914100996785651,3,2,3,15/07/2025,2,06:39,7,50.0,8,6,1.0,2.0,1,2,37
DEMO101854,52.401090915526474,-1.8986167244810386,3,3,3,30/09/2025,2,12:41,1,30.0,2,1,1.0,1.0,2,2,19
DEMO101855,51.36342619725457,-3.0082052271843533,3,4,4,30/10/2025,4,21:02,2,20.0,9,1,2.0,1.0,2,5,41
DEMO101856,51.49124243774819,-2.432874401785056,3,5,7,06/02/2025,4,02:12,2,50.0,9,1,7.0,2.0,2,4,21
DEMO101857,53.61188526817518,-1.2343011053679511,3,4,6,20/02/2025,4,07:47,3,50.0,0,1,1.0,2.0,1,2,18
DEMO101858,52.88756189640213,-1.1623478959233438,3,1,1,04/02/2025,2,01:27,7,30.0,9,1,2.0,3.0,1,4,38
DEMO101859,55.923398295118794,-4.348224758213607,2,3,4,29/11/2025,6,23:30,12,20.0,1,5,6.0,1.0,1,1,3
DEMO101860,55.83982858210364,-4.1463939363460804,3,3,4,27/08/2025,3,16:45,2,70.0,8,1,2.0,1.0,1,2,4
DEMO101861,53.88449151163139,-1.4474834260389968,2,4,4,13/07/2025,7,05:04,6,50.0,8,5,6.0,1.0,2,6,40
DEMO101862,51.299373199776106,-3.0881380392415676,3,2,3,16/10/2025,4,09:47,3,30.0,2,5,2.0,3.0,1,4,8
DEMO101863,51.44411638553759,-2.1295101664989198,3,1,2,02/08/2025,6,17:40,3,30.0,1,1,2.0,5.0,1,6,27
DEMO101864,51.64542751917437,-3.019586778205884,3,2,2,27/03/2025,4,22:24,1,40.0,8,1,1.0,2.0,1,6,7
DEMO101865,51.311212417225654,,2,3,6,06/07/2025,7,13:29,3,20.0,3,7,1.0,1.0,1,2,39
DEMO101866,52.44875021876943,-2.1505789919893794,2,3,3,14/09/2025,7,06:04,3,30.0,6,4,3.0,3.0,1,2,40
DEMO101867,55.93466097425367,-3.4220026157174352,3,2,3,14/01/2025,2,16:12,9,70.0,8,7,5.0,1.0,1,1,5
DEMO101868,51.234103905632,-0.31359890861688466,3,2,4,10/08/2025,7,16:14,7,50.0,2,1,1.0,4.0,2,2,28
DEMO101869,56.07680150220996,-3.1846592760192607,3,1,2,01/07/2025,2,15:52,7,70.0,0,4,7.0,1.0,2,6,36
DEMO101870,51.39847417769413,-0.16210359589670473,3,3,3,26/01/2025,7,01:06,6,30.0,9,7,1.0,1.0,1,3,22
DEMO101871,53.46605770092672,,3,4,6,07/04/2025,1,16:17,3,20.0,8,1,2.0,1.0,1,4,1
DEMO101872,53.4852842779782,-1.073472979193001,2,3,4,13/06/2025,5,00:07,3,70.0,8,1,7.0,2.0,1,3,27
DEMO101873,54.71971505856595,-5.9516133758784235,2,1,3,06/05/2025,2,21:17,1,60.0,2,7,7.0,1.0,2,1,39
DEMO101874,51.23420003986656,-2.471725785148037,3,3,4,16/04/2025,3,21:00,2,40.0,9,1,2.0,1.0,1,2,2
DEMO101875,52.554460649162614,-1.8720039363899952,3,2,3,25/08/2025,1,13:16,3,30.0,2,1,1.0,2.0,2,5,43
DEMO101876,53.651686733928166,-1.9828516387597255,3,3,5,28/05/2025,3,15:43,12,50.0,1,7,1.0,4.0,2,3,4
DEMO101877,51.35716832687618,-3.026159015275403,2,4,5,01/07/2025,2,01:46,12,20.0,2,1,1.0,1.0,1,5,29
DEMO101878,56.000960713023645,-4.263834120396627,3,2,3,19/10/2025,7,20:22,9,70.0,8,4,5.0,,1,5,22
DEMO101879,,-1.6596976482236772,3,6,6,04/02/2025,2,06:42,7,50.0,2,6,1.0,1.0,1,1,24
DEMO101880,51.53725329579643,-2.44140434011065,3,4,4,12/05/2025,1,06:37,7,30.0,2,6,4.0,1.0,1,4,39
DEMO101881,53.950427211520875,-1.3417986144555885,3,2,2,27/01/2025,1,16:54,7,30.0,6,1,1.0,1.0,1,3,27
DEMO101882,53.31603330900313,-2.2319111381871113,3,5,6,05/12/2025,5,22:48,7,20.0,7,1,2.0,1.0,1,1,22
DEMO101883,51.30612308686881,-3.019543250834783,2,3,3,09/03/2025,7,11:13,3,60.0,1,6,1.0,1.0,1,3,34
DEMO101884,53.58505523665511,-1.5246247455159974,2,6,9,27/10/2025,1,12:35,12,30.0,8,6,2.0,1.0,1,1,3
DEMO101885,53.420436031222266,-2.4867034784546345,3,2,3,11/03/2025,2,13:47,9,40.0,3,1,2.0,1.0,1,1,36
DEMO101886,53.11572457008557,-1.580105484661419,1,3,3,29/04/2025,2,06:18,3,30.0,2,1,9.0,1.0,1,2,30
DEMO101887,51.42203609610597,-2.440941991341483,3,4,5,11/08/2025,1,14:34,6,40.0,0,1,7.0,1.0,1,3,12
DEMO101888,51.48509042878046,0.0003973975383976813,2,3,3,31/10/2025,5,23:24,9,50.0,9,1,4.0,1.0,1,1,18
DEMO101889,53.44975790788237,-3.156315670496922,3,4,4,06/03/2025,4,09:18,12,30.0,8,6,1.0,1.0,1,1,11
DEMO101890,53.408881108991054,-1.912331022108152,3,2,2,19/03/2025,3,18:11,3,30.0,0,7,7.0,1.0,1,3,8
DEMO101891,53.79101206471989,-2.4810141380636717,3,3,3,18/11/2025,2,18:02,6,30.0,2,1,7.0,2.0,2,1,18
DEMO101892,51.317845167706295,-3.139537433955262,2,7,8,28/04/2025,1,20:44,3,70.0,0,7,6.0,2.0,2,1,15
DEMO101893,55.51228486200763,-4.351059936247726,3,2,2,18/03/2025,2,17:49,3,30.0,7,6,2.0,1.0,1,1,21
DEMO101894,52.21957134587507,-1.8435883855878694,3,4,5,29/09/2025,1,22:39,3,30.0,8,5,1.0,2.0,2,3,18
DEMO101895,51.34644330088678,-3.479432128641989,3,3,6,03/02/2025,1,17:14,1,40.0,0,7,4.0,2.0,1,4,13
DEMO101896,53.03779061774076,-1.5581261398426551,3,3,4,13/11/2025,4,23:01,3,30.0,9,1,1.0,1.0,1,2,20
DEMO101897,51.44191651886083,-3.325237589173567,2,4,4,16/11/2025,7,17:37,6,60.0,3,7,1.0,1.0,1,5,17
